Organization Name,Address1,City,State,Zip Code,Borough,Neighborhood,Phone1,Fax,Website,Job Placement Services,Financial Aid Services,Contact FirstName,Contact LastName,course name,CourseDescription,Keywords,Cost Total,Cost Includes,Cost Does Not Include,Duration,Duration Unit,NumHours,Prerequisites,Max Class Size,Years Course Offered,Instructor Credentials,Delivery Method,Schedule,Is HRA,Is SBS
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,Electrocardiograph Technician,This course prepares the students with basic procedures for testing heart conditions of patients.Technicians produce recordings of electromotive variations in patient's heart muscle  using electrocardiograph to provide data for diagnosis of heart ailments. . .The duties include Attaches electrodes to chest  arms  and legs of patient. Connects electrode leadsto electrocardiograph and starts machine. Moves electrodes along specified area of chest to produce electrocardiogram that records electromotive variations occurring in different areas of heart muscle. .Monitors electrocardiogram for abnormal patterns. Keys information into machine or marks tracing toindicate positions of chest electrodes. Replenishes supply of paper and ink in machine and reportsmalfunctions. Edits and forwards final test results to attending physician for analysis and interpretation. Technicians may attach electrodes of Holster monitor (electrocardiograph) to patient to record dataover extended period of time. . .This course covers the National certification exams for Certified Electrocardiograph Technician. . .Upon completion of training student will receive a certificate of completion. .,,1500.00,Classroom Hours 20.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 20.0,,40,Hour(s),40,<p>High School Diploma  GED  or Entrance Test</p> .,,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
COMPU21 INSTITUTE,3907 PRINCE ST STE 2C,FLUSHING,New York,11354,Queens,Flushing - Clearview,7187621900,,http://www.compu21.com,,Some types of Financial Aid are provided.,Ann,Chen,Desktop Support Technician,Desktop Support Technician combines 3 topics: A+  Network+ and Security+. A+ provides the springboard for you to launch yourself into the IT world; Network+ is for students to learn network infrastructure  Networking Operating Systems and Network Protocols. In Security+  you&#39;ll build on your knowledge and professional experience with computer hardware  operating systems  and networks to implement basic security services on any type of computer network. This course prepares students to achieve a CompTIA Certification. Upon completion of training students will be able to get Completion Certificates and we will help her/him to find position in the field she / he is pursuing. This course cost included the Certification Exam Fee up to $300. .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,3711.00,Classroom Hours 50.0   Lab Hours 70.0   Internship Hours 0.0   Practical Hours 0.0,,120,Hour(s),120,<p>3 months working experience with Windows or a computer industry Certificate  or 3 college credit in computer hardware</p> .,20,,,Classroom Training,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Certified Professional Life Coach (Exam cost included),The Certified Professional Life Coach course teaches the Core Competencies of the International Coach Federations (ICF). ICF is the leading organization dedicated to advancing the coaching profession through high standards  independent certification  and a worldwide network of trained coaching professionals. You will learn ICF-recognized protocols and use these to build your own distinctive coaching style. .This course also incorporates the International Association of Professional Recovery Coaches (IAPRC) Code of Ethics  used to enhance the lives of individuals impacted by addiction. You will learn strategies for applying the IAPRC Code of Ethics  ICF Core Competencies  and other recognized coaching concepts. Upon course completion of the final exam within the course  you will receive the Certified Professional Coach (CPC) certification. This credential is issued through the International Association of Professional Recovery Coaches (IAPRC). Finally  you will have gained the industry-recognized skills needed to become a certified life coach and establish a successful coaching business.,,1825.00,Classroom Hours 40.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,40,Hour(s),40,There are no prerequisites to take this course.,,,,Web-Based,Check with school to receive most updated schedule,Yes,No
Noble Desktop,185 MADISON AVE FL 3,NEW YORK,New York,10016,Manhattan,Gramercy Park - Murray Hill,2122264149,,http://www.nobledesktop.com,,Some types of Financial Aid are provided.,Mourad,Kattan,Program in Digital Marketing,Learn essential digital marketing skills needed to promote your business. This certificate includes classes in digital marketing strategy  SEO  Google Analytics  Google Ads  and Social Media Marketing. .Discover the endless potential of your business by optimizing your webpage. Develop an actionable  multi-tiered digital marketing campaign optimized through SEO  social media  and Google Ads. Track your growth though Google Analytics and utilize its many features to maximize gains. .This intensive bootcampis perfect for business owners looking to increase traffic and monitor conversions on their website and social media platforms  or for those that are interested in or are currently employed in marketing looking to learn new skills from a top digital marketing expert. . .Students will receive a certificate of completion upon finishing the course. See our website for course dates and times: http://www.nobledesktop.com/schedule,,2750.00,Classroom Hours 60.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,60,Hour(s),60,Must have basic computer skills  such as mouse and keyboard skills.,,,,Classroom Training,Check with school to receive most updated schedule,No,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Certified Ethical Hacker (Voucher Included),This course will immerse you into the hacker mindset  putting you in the driver''s seat of hands-on activities. You will scan  test  hack  and secure your own systems. You will learn the five phases of ethical hacking (reconnaissance  gaining access  enumeration  maintaining access  and covering your tracks) and the ways to approach your target and succeed at breaking in every time. .This accredited course provides you with advanced hacking tools and techniques so that you can assess the security posture of an organization with the same approach these malicious hackers use. You''ll be able to identify weaknesses and fix the problemsbeforethey are identified by the enemy  preventing what could potentially be catastrophic damage to your organization. This is sure to help you get ahead in your current and future positions. .Upon completion of this course  you will be prepared to sit for the Certified Ethical Hacker Exam 312-50  offered by EC-Council. This course also includes a voucher which covers the fee of the exam.,,2895.00,Classroom Hours 100.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,100,Hour(s),100,The Certified Ethical Hacker course is specifically designed to help individuals with a prior strong knowledge of network infrastructure  computer hardware  software  and security prepare for the (CEH) Exam # 312-50  offered by EC-Council.,,,,Web-Based,Check with school to receive most updated schedule,No,No
Medical Training Institute of New York,211 E 43rd St 2nd Fl,New York,New York,10017,Manhattan,Gramercy Park - Murray Hill,2122062554,2128048577,www.mtiofnewyork.com,,Some types of Financial Aid are provided.,Ishmeal,alarbi,Medical Coding Specialist,Course Overview . .The Medical Coding Specialist Program at the Medical Training Institute of New Yorkis designed to prepare students for careers in various healthcare settings  including medical offices  hospitals  clinics  and skilled-care facilities. . .The medical coding profession remains diverse  with career opportunities in many outpatient and inpatient facilities. Career opportunities exist with health care facilities  third-party payers  private physician settings  and self-employed medical coders. Although self-employment as a coding professional in private practice remains a viable option  many more employment opportunities exist. .,,4906.00,Classroom Hours 300.0   Lab Hours 150.0   Internship Hours 150.0   Practical Hours 50.0,,650,Hour(s),650,,20,,,Classroom Training,Check with school to receive most updated schedule,No,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Professional Bookkeeping with QuickBooks 2015  Software Included,Prepare for a career in the high-demand field of bookkeeping and accounting  as you master QuickBooks 2015  the leading financial software tool for small businesses. Even with no bookkeeping experience  you can prepare do professional bookkeeping for a small business with this course. This online program teaches you to plan a budget  manage payroll systems  and manage accounting. It also makes you aware of the legal standards that apply to accounting methods  giving you the proper credentials you need to practice bookkeeping with confidence.The cost of the program$1 995.00includes the tuition  textbookBookkeeping Made Simpleand the QuickBooks 2015 software.,,2025.00,Classroom Hours 140.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,140,Hour(s),140,This program is designed to prepare you for an entry-level position as a full-charge bookkeeper. You do not need any prior experience or training in this field. You need an Internet connection  e-mail capabilities  and familiarity with using the Internet.,10,,CPA  MBA,Web-Based,Check with school to receive most updated schedule,Yes,No
NorthSide Driving School ltd,6816 FRESH POND RD,RIDGEWOOD,New York,11385,Queens,Ridgewood - Forest Hills,7184180342,7184180341,http://www.NorthSideDrivingSchool.com,,Some types of Financial Aid are provided.,ZBIGNIEW  ( ZYGGI ),SZCZEPAN,ELTD - Commercial Bus / Truck  Training,ELDT  Training using Automatic BUS  CDL Class BPS. (vehicles over 26 000 lbs.with air brakes )No manual transmission experience required. Training is done one on one with the instructor. All training and training materials are available in both English and Spanish. License class B with Passengers  School Bus and Air Brake Endorsements. At the end of the training every student receives diploma from the training and class BPS License issued by New York State Department of Motor Vehicles. IN addition every participiate will receive maximum of 20 hours behind the wheel training and 1 hour in class room training  up to two road test chances   the school will secure the road test appointments including $40.00 DMV fee. Once completed the training student will receive a certificate of completion. .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,2500.00,Classroom Hours 1.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 20.0,,21,Hour(s),21,<p>NorthSide Driving School Ltd will also provide job placement assistance for WorkForce1 participants through network of potential employers.</p> .,1,,Instructors Certified by NYS Department of Motor Vehicles.,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
Kennedy Childrens Center,2212 3rd Ave 2nd Fl,New York,New York,10035,Manhattan,East Harlem,3474604329,,www.kenchild.org,,Some types of Financial Aid are provided.,Carolyn,Cleveland,Grow Your Own Teacher Assistant Training Program,Have you thought about a career in education? Grow Your Own provides the training you'll need to become a New York State certified Teacher Assistant - the first step in a lifelong career in education. . .GYO combines hands-on experience in the classroom with professional development and exam preparation. Our intensive job-placement services help graduates find positions at early childhood providers throughout the city. . .The 6-week program is provided at no cost to participants. GYO covers the costs of all New York State mandated screenings  workshops  and tests. . .If you are interested in applying for the GYO program  please contact Workforce Coordinator Mira Handman (mhandman@kenchild.org) for more information. .,,5000.00,Classroom Hours 95.0   Lab Hours 0.0   Internship Hours 100.0   Practical Hours 0.0,,195,Hour(s),195,<p>The most important requirement for participation in GYO is a love of children.&nbsp;Applicants should enjoy being around young children and preferably have some previous experience working with children. Based on New York State and New York City regula,12,,BA from Boston University  MA from New York University  SBS from Brooklyn College,Apprenticeship,Check with school to receive most updated schedule,No,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,Certified Financial Health Counselor (Exam Included),Only a third of American adults are considered financially literate &ndash; meaning they grasp key concepts of personal finances and financial security. Because of this  many people are in poor &ldquo;financial health&rdquo; and have difficulty saving money  managing debt  and improving credit. The need for financial counseling has never been greater. By combining counseling techniques with a broad knowledge of personal finance  financial health counselors empower their clients.This course will prepare you for a career as a financial counselor. You will learn techniques for counseling clients  including financial life cycle planning and goal setting. You will also learn how to establish debt management plans  provide guidance on student loans and affordable housing  and create long-term action plans to ensure your clients are in &ldquo;good financial health.&rdquo; Upon completing the course  you will earn the designation of Certified Financial Health Counselor.,,2025.00,Classroom Hours 80.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,80,Hour(s),80,No prerequisites required.,,,,Web-Based,Check with school to receive most updated schedule,Yes,No
